(BizFavoriteCliDialog.java:107) : codNum : C2074, codType : CM, codName : CHG-IDLE-INFO
(BizFavoriteCliDialog.java:107) : codNum : C2075, codType : CM, codName : DIS-CERESELT-INFO
(BizFavoriteCliDialog.java:107) : codNum : C2076, codType : CM, codName : CHG-CERESELT-INFO
(BizFavoriteCliDialog.java:107) : codNum : C2084, codType : CM, codName : DIS-DRX-INFO
(BizFavoriteCliDialog.java:107) : codNum : C2078, codType : CM, codName : DIS-CELL-INFO
(BizFavoriteCliDialog.java:107) : codNum : C2085, codType : CM, codName : CHG-DRX-INFO
(BizFavoriteCliDialog.java:107) : codNum : C2089, codType : CM, codName : DIS-WEB-INFO
(BizFavoriteCliDialog.java:107) : codNum : C2086, codType : CM, codName : CHG-TX-PWR
(BizFavoriteCliDialog.java:107) : codNum : C2090, codType : CM, codName : CHG-WEB-INFO
(BizFavoriteCliDialog.java:107) : codNum : C2091, codType : CM, codName : CHG-CELL-INFO
(BizFavoriteCliDialog.java:107) : codNum : C2092, codType : CM, codName : DIS-BARRSIG-INFO
(BizFavoriteCliDialog.java:107) : codNum : C2094, codType : CM, codName : CHG-BARRDATA-INFO
(BizFavoriteCliDialog.java:107) : codNum : C2093, codType : CM, codName : CHG-BARRSIG-INFO
(BizFavoriteCliDialog.java:107) : codNum : C2095, codType : CM, codName : DIS-PCI-RNG
(BizFavoriteCliDialog.java:107) : codNum : C2096, codType : CM, codName : CHG-PCI-RNG
(BizFavoriteCliDialog.java:107) : codNum : C2097, codType : CM, codName : DIS-BARRDATA-INFO
(BizFavoriteCliDialog.java:107) : codNum : C2098, codType : CM, codName : DIS-BARRING-INFO
(BizFavoriteCliDialog.java:107) : codNum : C2099, codType : CM, codName : CHG-BARRING-INFO
(BizFavoriteCliDialog.java:107) : codNum : C2105, codType : CM, codName : DIS-FFR-BITMAP
(BizFavoriteCliDialog.java:107) : codNum : C2106, codType : CM, codName : CHG-FFR-BITMAP
(BizFavoriteCliDialog.java:107) : codNum : C2107, codType : CM, codName : DIS-QOS-MAP
(BizFavoriteCliDialog.java:107) : codNum : C2108, codType : CM, codName : CHG-QOS-MAP
(BizFavoriteCliDialog.java:107) : codNum : C2109, codType : CM, codName : DIS-HO-CTRL
(BizFavoriteCliDialog.java:107) : codNum : C2110, codType : CM, codName : CHG-HO-CTRL
(BizFavoriteCliDialog.java:107) : codNum : C2201, codType : CM, codName : DIS-SYS-TIME
(BizFavoriteCliDialog.java:107) : codNum : C2202, codType : CM, codName : CHG-SYS-TIME
(BizFavoriteCliDialog.java:107) : codNum : C2203, codType : CM, codName : DIS-SYS-CLOCK
(BizFavoriteCliDialog.java:107) : codNum : C2205, codType : CM, codName : DIS-NBR-INFO
(BizFavoriteCliDialog.java:107) : codNum : C2204, codType : CM, codName : CHG-SYS-CLOCK
(BizFavoriteCliDialog.java:107) : codNum : C2206, codType : CM, codName : ADD-NBR-INFO
(BizFavoriteCliDialog.java:107) : codNum : C2301, codType : CM, codName : DIS-S1U-ADDR
(BizFavoriteCliDialog.java:107) : codNum : C2207, codType : CM, codName : DEL-NBR-INFO
(BizFavoriteCliDialog.java:107) : codNum : C2302, codType : CM, codName : CHG-S1U-ADDR
(BizFavoriteCliDialog.java:107) : codNum : C2303, codType : CM, codName : DIS-OAM-ADDR
(BizFavoriteCliDialog.java:107) : codNum : C2304, codType : CM, codName : CHG-OAM-ADDR
(BizFavoriteCliDialog.java:107) : codNum : C2305, codType : CM, codName : DIS-ROUTER-ADDR
(BizFavoriteCliDialog.java:107) : codNum : C2306, codType : CM, codName : CHG-ROUTER-ADDR
(BizFavoriteCliDialog.java:107) : codNum : C2307, codType : CM, codName : DIS-DHCP-INFO
(BizFavoriteCliDialog.java:107) : codNum : C2308, codType : CM, codName : CHG-DHCP-INFO
(BizFavoriteCliDialog.java:107) : codNum : C2309, codType : CM, codName : DIS-DNS-ADDR
(BizFavoriteCliDialog.java:107) : codNum : C2310, codType : CM, codName : CHG-DNS-ADDR
(BizFavoriteCliDialog.java:107) : codNum : C2311, codType : CM, codName : DIS-NTP-URL
(BizFavoriteCliDialog.java:107) : codNum : C2312, codType : CM, codName : CHG-NTP-URL
(BizFavoriteCliDialog.java:107) : codNum : C2313, codType : CM, codName : DIS-VLAN-INFO
(BizFavoriteCliDialog.java:107) : codNum : C2314, codType : CM, codName : CHG-VLAN-INFO
(BizFavoriteCliDialog.java:107) : codNum : C2315, codType : CM, codName : DIS-DBG-MASK
(BizFavoriteCliDialog.java:107) : codNum : C2316, codType : CM, codName : CHG-DBG-MASK
(BizFavoriteCliDialog.java:107) : codNum : C2317, codType : CM, codName : DIS-PLMN-INFO
(BizFavoriteCliDialog.java:107) : codNum : C2318, codType : CM, codName : ADD-PLMN-INFO
(BizFavoriteCliDialog.java:107) : codNum : C2319, codType : CM, codName : DEL-PLMN-INFO
(BizFavoriteCliDialog.java:107) : codNum : C2321, codType : CM, codName : ADD-EUTRA-FREQ
(BizFavoriteCliDialog.java:107) : codNum : C2320, codType : CM, codName : DIS-EUTRA-FREQ
(BizFavoriteCliDialog.java:107) : codNum : C2322, codType : CM, codName : DEL-EUTRA-FREQ
(BizFavoriteCliDialog.java:107) : codNum : C2323, codType : CM, codName : DIS-CELLNAME-INFO
(BizFavoriteCliDialog.java:107) : codNum : C2324, codType : CM, codName : CHG-CELLNAME-INFO
(BizFavoriteCliDialog.java:107) : codNum : C2325, codType : CM, codName : DIS-DSCP-INFO
(BizFavoriteCliDialog.java:107) : codNum : C2326, codType : CM, codName : CHG-DSCP-INFO
(BizFavoriteCliDialog.java:107) : codNum : C2327, codType : CM, codName : DIS-CELLPCI-RNG
(BizFavoriteCliDialog.java:107) : codNum : C2328, codType : CM, codName : CHG-CELLPCI-RNG
(BizFavoriteCliDialog.java:107) : codNum : C2329, codType : CM, codName : DIS-HOSTNAME-INFO
(BizFavoriteCliDialog.java:107) : codNum : C2330, codType : CM, codName : CHG-HOSTNAME-INFO
(BizFavoriteCliDialog.java:107) : codNum : C2331, codType : CM, codName : DIS-LOCAL-ADDR
(BizFavoriteCliDialog.java:107) : codNum : C2332, codType : CM, codName : CHG-LOCAL-ADDR
(BizFavoriteCliDialog.java:107) : codNum : C2333, codType : CM, codName : DIS-STATIC-ROUTE
(BizFavoriteCliDialog.java:107) : codNum : C2335, codType : CM, codName : DEL-STATIC-ROUTE
(BizFavoriteCliDialog.java:107) : codNum : C2334, codType : CM, codName : ADD-STATIC-ROUTE
(BizFavoriteCliDialog.java:107) : codNum : C2339, codType : CM, codName : DIS-CFG-LOG
(BizFavoriteCliDialog.java:107) : codNum : C2341, codType : CM, codName : DIS-STATUS-LOG
(BizFavoriteCliDialog.java:107) : codNum : C2340, codType : CM, codName : CHG-CFG-LOG
(BizFavoriteCliDialog.java:107) : codNum : C2342, codType : CM, codName : CHG-STATUS-LOG
(BizFavoriteCliDialog.java:107) : codNum : C2344, codType : CM, codName : CHG-STAT-LOG
(BizFavoriteCliDialog.java:107) : codNum : C2343, codType : CM, codName : DIS-STAT-LOG
(BizFavoriteCliDialog.java:107) : codNum : C2345, codType : CM, codName : DIS-OTHER-LOG
(BizFavoriteCliDialog.java:107) : codNum : C2346, codType : CM, codName : CHG-OTHER-LOG
(BizFavoriteCliDialog.java:107) : codNum : C2347, codType : CM, codName : DIS-S1AP-LOG
(BizFavoriteCliDialog.java:107) : codNum : C2348, codType : CM, codName : CHG-S1AP-LOG
(BizFavoriteCliDialog.java:107) : codNum : C2349, codType : CM, codName : DIS-ENODEB-LOG
(BizFavoriteCliDialog.java:107) : codNum : C2351, codType : CM, codName : DIS-CWMP-LOG
(BizFavoriteCliDialog.java:107) : codNum : C2350, codType : CM, codName : CHG-ENODEB-LOG
(BizFavoriteCliDialog.java:107) : codNum : C2352, codType : CM, codName : CHG-CWMP-LOG
(BizFavoriteCliDialog.java:107) : codNum : C2354, codType : CM, codName : CHG-HTTP-LOG
(BizFavoriteCliDialog.java:107) : codNum : C2353, codType : CM, codName : DIS-HTTP-LOG
(BizFavoriteCliDialog.java:107) : codNum : C2355, codType : CM, codName : DIS-CLI-LOG
